Indicator,Topic,Region,2010,2011,2012,2013,2014
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Cayman Islands,"11,948,450","19,026,130","8,104,034","18,176,034","23,731,315"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Dominica,"24,341.71","14,192.97","23,152.40","17,915.76","35,410.37"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Dominican Republic,"1,820,227.86","2,197,500","3,415,900","1,599,900","2,385,300"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Ecuador,"165,320.32","643,709.36","567,035.30","726,814.21","772,935.95"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Grenada,"60,420.86","42,648.18","31,489.86","74,688.41","38,242.22"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Guatemala,"845,598.20","1,139,659.13","1,263,638.43","1,353,141.91","1,165,765"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Honduras,"484,836.87","1,042,571.02","1,067,550.21","1,069,029.26","1,294,065.69"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Haiti,"178,000","119,000","156,000","160,377.88","99,000"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Jamaica,"185,775.63","172,757.17","413,333.45","544,747.56","582,148.74"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),St. Kitts and Nevis,"116,268.48","109,632.71","92,419.22","110,789.97","120,122.22"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),St. Lucia,"121,296.97","96,416.43","75,759.33","83,515.04","93,141.48"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Panama,"2,549,100","4,395,600","3,381,900","4,272,200","4,761,200"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Peru,"8,454,627.59","7,664,946.69","11,917,886.69","9,297,768.04","7,884,539.12"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Paraguay,"344,100","447,766.67","745,400","74,000","459,020"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),El Salvador,"-113,160.68","122,500.00","447,709.56","242,346.00","509,251.54"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Suriname,"-247,700","145,288.76","169,442.19","186,765.03","-59,884.33"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Sint Maarten (Dutch part),"32,595.53","-48,480.45","13,508.38","47,357.54","47,709.50"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Trinidad and Tobago,"549,400","1,216,100","2,452,941.08","1,994,318.40","2,488,800"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),St. Vincent and the Grenadines,"97,218.11","85,623.86","115,402.25","126,735.01","109,812.22"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Bahrain,"155,771.01","780,851.06","891,223.40","988,829.79","957,712.77"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Djibouti,"36,501.03","79,000.23","109,998.26","286,004.47","152,998.38"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Algeria,"2,300,369.12","2,571,237.03","1,500,402.45","1,691,886.71","1,503,453.10"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),"Egypt, Arab Rep.","6,385,600","-482,700","2,797,700","4,192,200","4,783,200"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),"Iran, Islamic Rep.","3,648,972.41","4,276,718.69","4,661,734.40","3,049,945","2,105,494"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Iraq,"1,396,200","2,082,000","3,400,000","5,131,400","4,781,800"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Israel,"5,509,600","8,727,600","8,467,600","12,448,100","6,738,000"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Jordan,"1,688,394.37","1,486,056.34","1,513,237.61","1,805,638.28","2,009,304.23"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Kuwait,"1,304,627.50","3,259,067.55","2,872,588.96","1,433,630.44","485,806.66"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Lebanon,"4,279,880.84","3,490,150.69","3,158,596.49","2,700,725.68","2,906,102.53"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Morocco,"1,240,625.86","2,521,362.08","2,841,954.37","3,360,909.92","3,525,625.59"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Oman,"1,243,172.95","1,629,144.34","1,364,629.39","1,612,430.96","1,505,331.60"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Qatar,"4,670,329.67","938,516.48","395,879.12","-840,384.62","1,040,384.62"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Saudi Arabia,"29,232,706.67","16,308,280","12,182,373.33","8,864,693.33","8,011,786.67"
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Syrian Arab Republic,"1,469,196.86",--,--,--,--
"Foreign direct investment, net inflows ($ Thousand)",Middle East & North Africa (all income levels),Tunisia,"1,334,497.70","432,666.01","1,554,269.13","1,058,622.58","1,024,754.44"
