Country,OBI (2010),OBI (2012),OBI (2015),OBI (2016),ATI (2010),ATI (2014),ATI (2015),ATI (2016),AD (2009),AD (2012),AD (2015),AD (2016),CL (2010),CL (2011),CL (2012),CL (2013),CL (2014),CL (2016),Score 2011,Score 2012,Score 2013,Score 2014,Score 2015,Score 2016,2011 Pts Possible,2012 Pts Possible,2013 Pts Possible,2014 Pts Possible,2015 Pts Possible,2016 Pts Possible,2011 Share of Total,2012 Share of Total,2013 Share of Total,2014 Share of Total,2015 Share of Total,2016 Share of Total,OBI Exec Budget (2015),OBI Audit Report (2015),OBI Exec Budget (2016),OBI Audit Report (2016,ATI Law Status (2015),ATI Law Status (2016),AD 2009 (Elected),AD Appntd (2009),AD 2012 (Elected),AD 2012 (Appnt),AD 2015 (Law),AD 2015 (Public),AD 2016 (Law),AD 2016 (Public),EIU CL (2010) ,EIU CL (2011),EIU CL (2012) ,EIU CL (2013),EIU CL (2014) ,EIU CL (2016),OGP Participating Country?
Bahamas,ND,ND,ND,ND,ND,ND,ND,1,2,4,4,4,ND,ND,ND,ND,ND,ND,2,2,4,4,4,5,12,12,12,12,12,12,17%,17%,33%,33%,33%,42%,ND,ND,ND,ND,ND,Draft law,congress,ND,Yes,Yes,Yes,Yes,Yes,Yes,ND,ND,ND,ND,ND,ND,No
Bahrain,ND,ND,ND,ND,1,1,1,1,3,2,2,2,2,2,1,1,1,1,6,6,4,4,4,4,12,12,12,12,12,12,50%,50%,33%,33%,33%,33%,ND,ND,ND,ND,Draft law,Draft law,public,ND,Yes,No,Yes,No,Yes,No,3.53,2.65,1.76,2.35,2.35,2.35,No
Bangladesh,2,2,2,2,4,4,4,4,2,2,2,2,3,3,3,3,3,3,11,11,11,11,11,11,16,16,16,16,16,16,69%,69%,69%,69%,69%,69%,Yes,No,Yes,No,Law,Law,none,nonpublic,Yes,No,Yes,No,Yes,No,7.06,7.06,7.06,7.06,7.06,6.76,No
Barbados,ND,ND,ND,ND,1,ND,ND,1,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,0,0,0,1,12,12,12,12,12,12,8%,8%,0%,0%,0%,8%,ND,ND,ND,ND,ND,Draft law,ND,none,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,No
Belarus,ND,ND,ND,ND,1,0,0,0,2,2,2,2,2,2,1,1,2,2,5,5,3,3,4,4,12,12,12,12,12,12,42%,42%,25%,25%,33%,33%,ND,ND,ND,ND,None,None,congress,nonpublic,Yes,No,Yes,No,Yes,No,3.53,2.94,2.35,2.35,2.65,2.65,No
Belgium,ND,ND,ND,ND,4,4,4,4,3,4,4,4,4,4,4,4,4,4,11,11,12,12,12,12,12,12,12,12,12,12,92%,92%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,9.41,9.41,9.41,9.41,9.41,8.82,No
Belize,ND,ND,ND,ND,4,4,4,4,3,4,4,4,ND,ND,ND,ND,ND,ND,7,7,8,8,8,8,12,12,12,12,12,12,58%,58%,67%,67%,67%,67%,ND,ND,ND,ND,Law,Law,congress,public,Yes,Yes,Yes,Yes,Yes,Yes,ND,ND,ND,ND,ND,ND,No
Benin,ND,0,2,4,0,0,0,0,2,2,2,2,3,3,3,3,3,3,5,5,5,5,7,9,12,12,16,16,16,16,42%,42%,31%,31%,44%,56%,Yes,No,Yes,Yes,None,None,none,nonpublic,Yes,No,Yes,No,Yes,No,6.47,6.18,6.18,5.88,5.88,5.88,No
Bermuda,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,12,12,12,12,12,12,0%,0%,0%,0%,0%,0%,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,No
Bhutan,ND,ND,ND,ND,0,3,3,3,3,4,4,4,2,2,2,2,2,2,5,5,9,9,9,9,12,12,12,12,12,12,42%,42%,75%,75%,75%,75%,ND,ND,ND,ND,Constitutional right,Constitutional right,congress,public,Yes,Yes,Yes,Yes,Yes,Yes,3.53,3.53,3.53,3.53,3.53,3.82,No
Bolivia,2,2,2,2,1,1,1,1,4,4,4,4,3,3,3,4,4,3,10,10,10,11,11,10,16,16,16,16,16,16,63%,63%,63%,69%,69%,63%,No,Yes,No,Yes,Draft law,Draft law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,7.35,7.35,7.35,7.65,7.65,7.06,No
Bosnia and Herzegovina,4,4,4,4,4,4,4,4,2,2,2,2,4,4,3,3,3,3,14,14,13,13,13,13,16,16,16,16,16,16,88%,88%,81%,81%,81%,81%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,7.65,7.65,7.35,7.35,6.76,6.18,Yes
Botswana,4,4,4,2,1,1,1,1,2,0,0,0,4,4,4,4,4,4,11,11,9,9,9,7,16,16,16,16,16,16,69%,69%,56%,56%,56%,44%,Yes,Yes,Yes,No,Draft law,Draft law,none,none,No,No,No,No,No,No,9.41,9.41,9.41,9.41,9.41,9.41,No
Brazil,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,15,15,16,16,16,14,16,16,16,16,16,16,94%,94%,100%,100%,100%,88%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,No,9.12,9.12,9.12,9.12,9.12,8.82,Yes
Brunei Darussalam,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,0,ND,ND,ND,ND,ND,ND,0,0,0,0,0,0,12,12,12,12,12,12,0%,0%,0%,0%,0%,0%,ND,ND,ND,ND,ND,ND,none,ND,No,No,No,No,No,No,ND,ND,ND,ND,ND,ND,No
Bulgaria,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,14,16,16,16,16,16,16,16,16,16,16,88%,88%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,8.82,8.53,8.24,8.24,8.24,8.24,Yes
Burkina Faso,0,2,4,4,0,3,4,4,2,2,2,2,2,2,2,2,2,2,4,4,9,9,12,12,16,16,16,16,16,16,25%,25%,56%,56%,75%,75%,Yes,Yes,Yes,Yes,Law,Law,none,nonpublic,Yes,No,Yes,No,Yes,No,4.41,4.41,4.41,4.41,4.41,4.71,Yes
Burundi,ND,ND,ND,ND,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,12,12,12,12,12,12,33%,33%,33%,33%,33%,33%,ND,ND,ND,ND,None,None,none,nonpublic,Yes,No,Yes,No,Yes,No,3.82,3.82,3.82,2.94,2.94,2.65,No
Cambodia,0,0,0,0,0,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,16,16,16,16,16,16,13%,13%,31%,31%,31%,31%,No,No,No,No,Draft law,Draft law,none,none,Yes,No,Yes,No,Yes,No,4.41,4.41,4.12,4.12,4.12,4.12,No
Cameroon,0,2,2,2,1,3,3,3,2,2,2,2,2,2,2,2,2,2,5,5,9,9,9,9,16,16,16,16,16,16,31%,31%,56%,56%,56%,56%,Yes,No,No,Yes,Constitutional right,Constitutional right,none,nonpublic,Yes,No,Yes,No,Yes,No,3.82,3.82,3.82,3.82,3.82,3.82,No
Canada,ND,ND,ND,ND,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,12,12,12,12,100%,100%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,10,10,10,10,10,10,Yes
Cabo Verde,ND,ND,ND,ND,0,3,3,3,3,4,4,4,4,4,4,4,4,4,7,7,11,11,11,11,12,12,12,12,12,12,58%,58%,92%,92%,92%,92%,ND,ND,ND,ND,Constitutional right,Constitutional right,congress,public,Yes,Yes,Yes,Yes,Yes,Yes,9.12,9.12,9.12,9.12,9.12,9.12,Yes
Central African Republic,ND,ND,ND,ND,0,0,0,0,3,4,4,4,2,2,2,1,1,1,5,5,6,5,5,5,12,12,12,12,12,12,42%,42%,50%,42%,42%,42%,ND,ND,ND,ND,None,None,none,public,Yes,Yes,Yes,Yes,Yes,Yes,2.65,2.65,2.94,2.35,2.35,2.35,No
Chad,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,16,16,16,16,16,16,25%,25%,25%,25%,25%,25%,No,No,No,No,None,None,none,nonpublic,Yes,No,Yes,No,Yes,No,3.24,3.24,3.24,2.65,2.65,2.65,No
Chile,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,9.41,9.41,9.41,9.71,9.71,9.41,Yes
China,2,2,2,2,4,4,4,4,2,2,2,2,1,1,1,1,1,1,9,9,9,9,9,9,16,16,16,16,16,16,56%,56%,56%,56%,56%,56%,No,Yes,No,Yes,Law,Law,none,nonpublic,Yes,No,Yes,No,Yes,No,1.18,1.18,1.47,1.47,1.47,1.47,No
Colombia,2,4,4,4,4,4,4,4,3,2,2,2,4,4,4,4,4,4,13,13,14,14,14,14,16,16,16,16,16,16,81%,81%,88%,88%,88%,88%,Yes,Yes,Yes,Yes,Law,Law,public,nonpublic,Yes,No,Yes,No,Yes,No,8.82,8.82,8.82,8.82,8.82,8.24,Yes
Comoros,ND,ND,ND,ND,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,12,12,12,12,12,12,33%,33%,33%,33%,33%,33%,ND,ND,ND,ND,None,None,congress,none,Yes,No,Yes,No,Yes,No,3.82,3.82,3.82,3.82,3.82,3.82,No
Congo,ND,ND,ND,ND,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,12,12,12,12,12,12,33%,33%,33%,33%,33%,33%,ND,ND,ND,ND,None,None,none,nonpublic,Yes,No,Yes,No,Yes,No,3.24,3.24,3.24,3.24,3.24,2.94,No
"Congo, the Democratic Republic of the",0,2,2,2,1,3,3,3,2,2,2,2,1,1,1,1,1,1,4,4,8,8,8,8,16,16,16,16,16,16,25%,25%,50%,50%,50%,50%,Yes,No,Yes,No,Constitutional right,Constitutional right,none,nonpublic,Yes,No,Yes,No,Yes,No,1.76,1.76,1.76,1.76,1.76,0.88,No
Costa Rica,4,4,4,4,3,3,3,3,2,2,2,2,4,4,4,4,4,4,13,13,13,13,13,13,16,16,16,16,16,16,81%,81%,81%,81%,81%,81%,Yes,Yes,Yes,Yes,Constitutional right,Constitutional right,congress,nonpublic,Yes,No,Yes,No,Yes,No,9.41,9.71,9.71,9.71,9.71,9.71,Yes
Ivory Coast,ND,2,4,4,0,4,4,4,0,2,2,2,2,2,2,2,2,2,2,2,10,10,12,12,12,12,16,16,16,16,17%,17%,63%,63%,75%,75%,Yes,Yes,Yes,Yes,Law,Law,none,none,Yes,No,Yes,No,Yes,No,3.53,3.53,3.82,3.82,3.82,3.82,Yes
Croatia,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,8.24,8.24,8.24,8.24,8.24,7.94,Yes
Cuba,ND,ND,ND,ND,0,0,0,0,ND,ND,ND,ND,2,2,2,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,17%,17%,17%,17%,17%,17%,ND,ND,ND,ND,None,None,ND,ND,ND,ND,ND,ND,ND,ND,2.94,2.94,2.94,2.94,2.94,2.65,No
Cyprus,ND,ND,ND,ND,0,0,0,1,ND,ND,ND,ND,4,4,4,4,4,4,4,4,4,4,4,5,12,12,12,12,12,12,33%,33%,33%,33%,33%,42%,ND,ND,ND,ND,None,Draft law,ND,ND,ND,ND,ND,ND,ND,ND,9.12,9.12,9.12,9.12,9.12,9.12,No
Czech Republic,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16,16,16,16,16,16,16,16,16,100%,100%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,9.41,9.41,9.41,9.41,9.41,8.82,Yes
Denmark,ND,ND,ND,ND,4,4,4,4,3,4,4,4,4,4,4,4,4,4,11,11,12,12,12,12,12,12,12,12,12,12,92%,92%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,ND,Yes,Yes,Yes,Yes,Yes,Yes,9.71,9.71,9.71,9.41,9.41,9.41,Yes
Djibouti,ND,ND,ND,ND,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,12,12,12,12,12,12,8%,17%,17%,17%,17%,17%,ND,ND,ND,ND,None,None,none,none,No,No,No,No,No,No,1.76,2.94,3.24,3.24,2.65,2.65,No
Dominica,ND,ND,ND,ND,ND,1,1,1,2,2,2,2,ND,ND,ND,ND,ND,ND,2,2,3,3,3,3,12,12,12,12,12,12,17%,17%,25%,25%,25%,25%,ND,ND,ND,ND,Draft law,Draft law,none,nonpublic,Yes,No,Yes,No,Yes,No,ND,ND,ND,ND,ND,ND,No
Dominican Republic,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,13,13,16,16,16,16,16,16,16,16,16,16,81%,81%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,8.24,8.24,7.65,7.65,7.65,7.65,Yes
Ecuador,2,2,2,2,4,4,4,4,2,2,2,2,4,3,3,3,3,3,12,11,11,11,11,11,16,16,16,16,16,16,75%,69%,69%,69%,69%,69%,Yes,No,Yes,No,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,7.65,7.35,7.35,7.06,7.06,6.76,No
Egypt,2,0,0,0,0,3,3,3,2,2,2,2,2,2,2,2,2,2,6,6,7,7,7,7,16,16,16,16,16,16,38%,38%,44%,44%,44%,44%,No,No,No,No,Constitutional right,Constitutional right,congress,nonpublic,Yes,No,Yes,No,Yes,No,3.53,3.82,4.12,2.94,2.65,2.94,No
El Salvador,2,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,12,12,14,14,14,14,16,16,16,16,16,16,75%,75%,88%,88%,88%,88%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,8.24,8.24,8.24,8.53,8.53,8.53,Yes
Equatorial Guinea,0,0,0,0,0,0,0,0,2,ND,ND,ND,1,1,1,1,1,1,3,3,1,1,1,1,16,16,16,16,16,16,19%,19%,6%,6%,6%,6%,No,No,No,No,None,None,ND,nonpublic,ND,ND,ND,ND,ND,ND,1.76,1.47,1.76,1.47,1.47,1.47,No
Eritrea,ND,ND,ND,ND,0,3,3,3,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,12,12,12,12,12,12,8%,8%,33%,33%,33%,33%,ND,ND,ND,ND,Constitutional right,Constitutional right,none,none,No,No,No,No,No,No,2.06,1.47,1.18,1.18,1.18,1.18,No
Estonia,ND,ND,ND,ND,4,4,4,4,3,4,4,4,4,4,4,4,4,4,11,11,12,12,12,12,12,12,12,12,12,12,92%,92%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,none,Yes,Yes,Yes,Yes,Yes,Yes,8.82,8.82,8.82,8.82,8.82,8.82,Yes
Ethiopia,ND,ND,ND,ND,1,4,4,4,0,4,4,4,2,2,2,2,2,2,3,3,10,10,10,10,12,12,12,12,12,12,25%,25%,83%,83%,83%,83%,ND,ND,ND,ND,Law,Law,none,none,Yes,Yes,Yes,Yes,Yes,Yes,4.41,4.41,4.41,4.41,3.82,3.24,No
Fiji,0,0,0,0,1,3,3,3,0,0,0,0,3,3,3,3,3,3,4,4,6,6,6,6,16,16,16,16,16,16,25%,25%,38%,38%,38%,38%,No,No,No,No,Constitutional right,Constitutional right,none,none,No,No,No,No,No,No,6.47,6.18,6.18,5.88,5.88,5.59,No
Finland,ND,ND,ND,ND,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,12,12,12,12,100%,100%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,9.71,9.71,9.71,9.71,9.71,9.71,Yes
France,4,4,4,4,4,4,4,4,3,2,2,2,4,4,4,4,4,4,15,15,14,14,14,14,16,16,16,16,16,16,94%,94%,88%,88%,88%,88%,Yes,Yes,Yes,Yes,Law,Law,congress,public,Yes,No,Yes,No,Yes,No,8.53,8.53,8.53,8.53,8.82,8.82,Yes
Gabon,ND,ND,ND,ND,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,12,12,12,12,12,12,33%,33%,33%,33%,33%,33%,ND,ND,ND,ND,None,None,congress,none,Yes,No,Yes,No,Yes,No,3.82,4.12,4.12,4.12,4.12,3.82,No
Gambia,ND,ND,ND,ND,0,0,0,0,2,2,2,2,2,2,2,2,1,1,4,4,4,4,3,3,12,12,12,12,12,12,33%,33%,33%,33%,25%,25%,ND,ND,ND,ND,None,None,none,nonpublic,Yes,No,Yes,No,Yes,No,3.24,3.24,3.24,3.24,2.35,2.35,No
Georgia,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,15,15,15,15,15,15,16,16,16,16,16,16,94%,94%,94%,94%,94%,94%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,6.18,6.18,6.18,5.88,5.88,5.59,Yes
Germany,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,15,15,16,16,16,16,16,16,16,16,16,16,94%,94%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,none,Yes,Yes,Yes,Yes,Yes,Yes,9.12,9.12,9.12,9.12,9.12,9.71,Yes
Ghana,4,4,4,4,3,3,3,3,2,2,2,2,3,3,3,3,3,3,12,12,12,12,12,12,16,16,16,16,16,16,75%,75%,75%,75%,75%,75%,Yes,Yes,Yes,Yes,Constitutional right,Constitutional right,congress,nonpublic,Yes,No,Yes,No,Yes,No,6.76,6.76,6.76,6.76,6.76,7.35,Yes
Greece,ND,4,ND,ND,4,4,4,4,3,4,4,4,4,4,4,4,4,4,11,11,16,16,12,12,12,12,16,16,12,12,92%,92%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,ND,Yes,Yes,Yes,Yes,Yes,Yes,9.41,9.41,9.41,9.41,9.41,8.82,Yes
Grenada,ND,ND,ND,ND,ND,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,2,0,0,0,0,12,12,12,12,12,12,17%,17%,0%,0%,0%,0%,ND,ND,ND,ND,ND,ND,ND,nonpublic,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,No
Guatemala,4,4,4,4,4,4,4,4,2,2,2,2,3,3,3,3,3,3,13,13,13,13,13,13,16,16,16,16,16,16,81%,81%,81%,81%,81%,81%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,7.35,7.35,7.35,7.35,7.35,7.35,Yes
Guinea,ND,ND,ND,ND,0,4,4,4,0,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,12,12,12,12,12,12,17%,17%,67%,67%,67%,67%,ND,ND,ND,ND,Law,Law,none,none,Yes,No,Yes,No,Yes,No,2.94,2.94,2.94,2.65,2.94,2.94,No
Guinea-Bissau,ND,ND,ND,ND,0,3,3,3,0,2,2,2,2,2,2,1,1,1,2,2,7,6,6,6,12,12,12,12,12,12,17%,17%,58%,50%,50%,50%,ND,ND,ND,ND,Constitutional right,Constitutional right,none,none,Yes,No,Yes,No,Yes,No,3.24,3.24,2.65,2.35,2.06,2.35,No
Guyana,ND,ND,ND,ND,1,4,4,4,2,2,2,2,3,3,3,3,3,3,6,6,9,9,9,9,12,12,12,12,12,12,50%,50%,75%,75%,75%,75%,ND,ND,ND,ND,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,7.06,7.06,7.06,7.06,7.06,7.06,No
Haiti,ND,ND,ND,ND,0,0,0,0,2,2,2,2,3,3,3,3,3,3,5,5,5,5,5,5,12,12,12,12,12,12,42%,42%,42%,42%,42%,42%,ND,ND,ND,ND,None,None,none,nonpublic,Yes,No,Yes,No,Yes,No,6.47,6.47,6.47,6.47,6.76,6.76,No
Honduras,4,4,4,4,4,4,4,4,3,2,2,2,3,3,3,3,3,3,14,14,13,13,13,13,16,16,16,16,16,16,88%,88%,81%,81%,81%,81%,Yes,Yes,Yes,Yes,Law,Law,congress,public**********,Yes,No,Yes,No,Yes,No,6.76,6.47,6.47,6.47,6.47,6.47,Yes
Hungary,ND,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,12,12,16,16,16,15,12,12,16,16,16,16,100%,100%,100%,100%,100%,94%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,8.53,8.24,8.24,8.24,7.94,7.06,Withdrawn
Iceland,ND,ND,ND,ND,4,4,4,4,3,4,4,4,4,4,4,4,4,4,11,11,12,12,12,12,12,12,12,12,12,12,92%,92%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public******,ND,Yes,Yes,Yes,Yes,Yes,Yes,9.71,9.71,9.71,9.71,9.71,9.71,No
India,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,14,14,14,14,14,14,16,16,16,16,16,16,88%,88%,88%,88%,88%,88%,Yes,Yes,Yes,Yes,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,9.41,9.41,9.41,9.41,9.41,9.12,No
Indonesia,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,15,15,16,15,15,15,16,16,16,16,16,16,94%,94%,100%,94%,94%,94%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,7.06,7.06,7.65,6.76,7.35,7.06,Yes
Iran,ND,ND,ND,ND,1,1,4,4,2,2,2,2,1,1,1,1,1,1,4,4,4,4,7,7,12,12,12,12,12,12,33%,33%,33%,33%,58%,58%,ND,ND,ND,ND,Law,Law,none,nonpublic,Yes,No,Yes,No,Yes,No,1.76,1.76,1.76,1.76,1.76,1.47,No
Iraq,0,0,0,0,1,1,1,1,3,4,4,4,3,2,2,2,2,2,7,6,7,7,7,7,16,16,16,16,16,16,44%,38%,44%,44%,44%,44%,No,No,No,No,Draft law,Draft law,none,public,Yes,Yes,Yes,Yes,Yes,Yes,5,4.41,4.41,4.41,4.41,4.41,No
Ireland,ND,ND,ND,ND,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,12,12,12,12,100%,100%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,10,10,10,10,10,10,Yes
Israel,ND,ND,ND,ND,4,4,4,4,2,2,2,2,3,3,3,3,3,3,9,9,9,9,9,9,12,12,12,12,12,12,75%,75%,75%,75%,75%,75%,ND,ND,ND,ND,Law,Law,congress,none,Yes,No,Yes,No,Yes,No,5.29,5.59,5.59,5.59,5.88,6.18,Yes
