,Budget transparency,,,Access to information,,Asset Disclosure,,,EIU Civil Liberties score,,Totals,,,,,
Estonia,ND,ND,ND,Law,4,Yes,Yes,4,8.82,4,12,12,100%,Yes,Yes,2016
Ethiopia,ND,ND,ND,Law,4,Yes,Yes,4,3.24,2,10,12,83%,Yes,No,2016
Fiji,No,No,0,Constitutional right,3,No,No,0,5.59,3,6,16,38%,No,No,2016
Finland,ND,ND,ND,Law,4,Yes,Yes,4,9.71,4,12,12,100%,Yes,Yes,2016
France,Yes,Yes,4,Law,4,Yes,No,2,8.82,4,14,16,88%,Yes,Yes,2016
Gabon,ND,ND,ND,None,0,Yes,No,2,3.82,2,4,12,33%,No,No,2016
Gambia,ND,ND,ND,None,0,Yes,No,2,2.35,1,3,12,25%,No,No,2016
Georgia,Yes,Yes,4,Law,4,Yes,Yes,4,5.59,3,15,16,94%,Yes,Yes,2016
Germany,Yes,Yes,4,Law,4,Yes,Yes,4,9.71,4,16,16,100%,Yes,Yes,2016
Ghana,Yes,Yes,4,Constitutional right,3,Yes,No,2,7.35,3,12,16,75%,Yes,Yes,2016
Greece,ND,ND,ND,Law,4,Yes,Yes,4,8.82,4,12,12,100%,Yes,Yes,2016
Grenada,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,12,0%,No,No,2016
Guatemala,Yes,Yes,4,Law,4,Yes,No,2,7.35,3,13,16,81%,Yes,Yes,2016
Guinea,ND,ND,ND,Law,4,Yes,No,2,2.94,2,8,12,67%,No,No,2016
Guinea-Bissau,ND,ND,ND,Constitutional right,3,Yes,No,2,2.35,1,6,12,50%,No,No,2016
Guyana,ND,ND,ND,Law,4,Yes,No,2,7.06,3,9,12,75%,Yes,No,2016
Haiti,ND,ND,ND,None,0,Yes,No,2,6.76,3,5,12,42%,No,No,2016
Honduras,Yes,Yes,4,Law,4,Yes,No,2,6.47,3,13,16,81%,Yes,Yes,2016
Hungary,Yes,Yes,4,Law,4,Yes,Yes,4,7.06,3,15,16,94%,Yes,Withdrawn,2016
Iceland,ND,ND,ND,Law,4,Yes,Yes,4,9.71,4,12,12,100%,Yes,No,2016
India,Yes,Yes,4,Law,4,Yes,No,2,9.12,4,14,16,88%,Yes,No,2016
Indonesia,Yes,Yes,4,Law,4,Yes,Yes,4,7.06,3,15,16,94%,Yes,Yes,2016
Iran,ND,ND,ND,Law,4,Yes,No,2,1.47,1,7,12,58%,No,No,2016
Iraq,No,No,0,Draft law,1,Yes,Yes,4,4.41,2,7,16,44%,No,No,2016
Ireland,ND,ND,ND,Law,4,Yes,Yes,4,10,4,12,12,100%,Yes,Yes,2016
Israel,ND,ND,ND,Law,4,Yes,No,2,6.18,3,9,12,75%,Yes,Yes,2016
Italy,Yes,Yes,4,Law,4,Yes,Yes,4,8.53,4,16,16,100%,Yes,Yes,2016
Jamaica,ND,ND,ND,Law,4,Yes,No,2,9.12,4,10,12,83%,Yes,Yes,2016
Japan,ND,ND,ND,Law,4,Yes,Yes,4,8.82,4,12,12,100%,Yes,No,2016
Jordan,Yes,Yes,4,Law,4,Yes,No,2,3.24,2,12,16,75%,Yes,Yes,2016
Kazakhstan,Yes,Yes,4,Law,4,Yes,No,2,3.82,2,12,16,75%,Yes,No,2016
Kenya,Yes,Yes,4,Law,4,Yes,Yes,4,5,3,15,16,94%,Yes,Yes,2016
Kiribati,ND,ND,ND,ND,ND,No,No,0,ND,ND,0,12,0%,No,No,2016
"Korea, Democratic People's Republic of",ND,ND,ND,None,0,ND,ND,ND,0,1,1,12,8%,No,No,2016
"Korea, Republic of",Yes,Yes,4,Law,4,Yes,Yes,4,8.24,4,16,16,100%,Yes,Yes,2016
Kuwait,ND,ND,ND,Draft law,1,No,No,0,3.53,2,3,12,25%,No,No,2016
Kyrgyzstan,Yes,Yes,4,Law,4,Yes,Yes,4,5,3,15,16,94%,Yes,No,2016
Laos,ND,ND,ND,None,0,Yes,No,2,1.47,1,3,12,25%,No,No,2016
Latvia,ND,ND,ND,Law,4,Yes,Yes,4,8.82,4,12,12,100%,Yes,Yes,2016
Lebanon,No,No,0,Draft law,4,Yes,No,2,5.59,3,9,16,56%,No,No,2016
Lesotho,ND,ND,ND,Draft law,1,Yes,No,2,7.06,3,6,12,50%,No,No,2016
Liberia,Yes,No,2,Law,4,Yes,Yes,4,5.59,3,13,16,81%,Yes,Yes,2016
Libya,ND,ND,ND,None,0,ND,ND,ND,2.94,2,2,12,17%,No,No,2016
Liechtenstein,ND,ND,ND,Law,4,ND,ND,ND,ND,ND,4,12,33%,No,No,2016
Lithuania,ND,ND,ND,Law,4,Yes,Yes,4,9.71,4,12,12,100%,Yes,Yes,2016
Luxembourg,ND,ND,ND,Draft law,1,Yes,Yes,4,9.71,4,9,12,75%,Yes,Yes,2016
Macedonia,Yes,Yes,4,Law,4,Yes,Yes,4,6.18,3,15,16,94%,Yes,Yes,2016
Madagascar,ND,ND,ND,Constitutional right,3,Yes,No,2,4.71,2,7,12,58%,No,No,2016
Malawi,Yes,No,2,Constitutional right,3,Yes,Yes,4,6.18,3,12,16,75%,Yes,Yes,2016
Malaysia,Yes,Yes,4,Draft law,1,Yes,No,2,5.59,3,10,16,63%,No,No,2016
Maldives,ND,ND,ND,Law,4,Yes,No,2,ND,ND,6,12,50%,No,No,2016
Mali,No,No,0,None,0,Yes,No,2,6.47,3,5,16,31%,No,No,2016
Malta,ND,ND,ND,Law,4,Yes,No,2,9.71,4,10,12,83%,Yes,Yes,2016
Marshall Islands,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,12,0%,No,No,2016
Mauritania,ND,ND,ND,None,0,Yes,No,2,4.41,2,4,12,33%,No,No,2016
Mauritius,Yes,Yes,4,None,0,Yes,No,2,9.71,4,10,16,63%,No,No,2016
Mexico,Yes,Yes,4,Law,4,Yes,Yes,4,6.76,3,15,16,94%,Yes,Yes,2016
Moldova,ND,ND,ND,Law,4,Yes,Yes,4,7.35,3,11,12,92%,Yes,Yes,2016
Monaco,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,12,0%,No,No,2016
Mongolia,Yes,Yes,4,Law,4,Yes,Yes,4,8.24,4,16,16,100%,Yes,Yes,2016
Montenegro,ND,ND,ND,Law,4,Yes,Yes,4,6.76,3,11,12,92%,Yes,Yes,2016
Morocco,Yes,Yes,4,Constitutional right,3,Yes,No,2,4.41,2,11,16,69%,No,No,2016
Mozambique,Yes,Yes,4,Law,4,Yes,No,2,3.53,2,12,16,75%,Yes,No,2016
Myanmar,No,No,0,None,0,ND,ND,ND,2.94,2,2,16,13%,No,No,2016
Namibia,Yes,No,2,None,0,Yes,Yes,4,8.24,4,10,16,63%,No,No,2016
Nepal,No,Yes,2,Law,4,Yes,No,2,5.59,3,11,16,69%,No,No,2016
Netherlands,ND,ND,ND,Law,4,Yes,Yes,4,9.41,4,12,12,100%,Yes,Yes,2016
New Zealand,Yes,Yes,4,Law,4,Yes,Yes,4,10,4,16,16,100%,Yes,Yes,2016
Nicaragua,Yes,Yes,4,Law,4,Yes,Yes,4,6.76,3,15,16,94%,Yes,No,2016
Niger,No,No,0,Law,4,Yes,Yes,4,4.71,2,10,16,63%,No,No,2016
Nigeria,Yes,No,2,Law,4,Yes,Yes,4,4.41,2,12,16,75%,Yes,Yes,2016
Norway,Yes,Yes,4,Law,4,Yes,Yes,4,10,4,16,16,100%,Yes,Yes,2016
Oman,ND,ND,ND,None,0,No,No,0,4.12,2,2,12,17%,No,No,2016
Pakistan,Yes,No,2,Law,4,Yes,Yes,4,5,3,13,16,81%,Yes,Yes,2016
Palestine,ND,ND,ND,Draft law,1,Yes,No,2,3.82,2,5,12,42%,No,No,2016
Panama,ND,ND,ND,Law,4,Yes,No,2,8.53,4,10,12,83%,Yes,Yes,2016
Papua New Guinea,Yes,Yes,4,Constitutional right,3,Yes,No,2,7.65,4,13,16,81%,Yes,Yes,2016
Paraguay,ND,ND,ND,Law,4,Yes,No,2,7.94,4,10,12,83%,Yes,Yes,2016
Peru,Yes,Yes,4,Law,4,Yes,Yes,4,8.24,4,16,16,100%,Yes,Yes,2016
Philippines,Yes,Yes,4,Law,4,Yes,Yes,4,8.24,4,16,16,100%,Yes,Yes,2016
Poland,Yes,Yes,4,Law,4,Yes,Yes,4,8.24,4,16,16,100%,Yes,No,2016
Portugal,Yes,Yes,4,Law,4,Yes,Yes,4,9.41,4,16,16,100%,Yes,No,2016
Qatar,No,No,0,None,0,No,No,0,4.12,2,2,16,13%,No,No,2016
Romania,Yes,Yes,4,Law,4,Yes,Yes,4,8.24,4,16,16,100%,Yes,Yes,2016
Russia,Yes,Yes,4,Law,4,Yes,Yes,4,3.53,2,14,16,88%,Yes,No,2016
Rwanda,Yes,Yes,4,Law,4,Yes,No,2,2.94,2,12,16,75%,Yes,No,2016
Samoa,ND,ND,ND,ND,ND,No,No,0,ND,ND,0,12,0%,No,No,2016
Sao Tome and Principe,Yes,No,2,None,0,Yes,No,2,ND,ND,4,16,25%,No,No,2016
Saudi Arabia,No,No,0,None,0,No,No,0,1.47,1,1,16,6%,No,No,2016
Senegal,Yes,Yes,4,Constitutional right,3,Yes,No,2,7.06,3,12,16,75%,Yes,No,2016
Serbia,Yes,Yes,4,Law,4,Yes,Yes,4,7.06,3,15,16,94%,Yes,Yes,2016
Seychelles,ND,ND,ND,Constitutional right,3,Yes,No,2,ND,ND,5,12,42%,No,No,2016
Sierra Leone,Yes,Yes,4,Law,4,Yes,No,2,5.29,3,13,16,81%,Yes,Yes,2016
Singapore,ND,ND,ND,None,0,Yes,No,2,7.35,3,5,12,42%,No,No,2016
Slovak Republic,Yes,Yes,4,Law,4,Yes,Yes,4,8.53,4,16,16,100%,Yes,Yes,2016
Slovenia,Yes,Yes,4,Law,4,Yes,Yes,4,8.53,4,16,16,100%,Yes,No,2016
Solomon Islands,ND,ND,ND,Draft law,1,Yes,No,2,ND,ND,3,12,25%,No,No,2016
Somalia,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,12,0%,No,No,2016
South Africa,Yes,Yes,4,Law,4,Yes,Yes,4,7.94,4,16,16,100%,Yes,Yes,2016
Spain,Yes,No,2,Law,4,Yes,Yes,4,9.41,4,14,16,88%,Yes,Yes,2016
Sri Lanka,Yes,No,2,Law,4,Yes,Yes,4,5.88,3,13,16,81%,Yes,Yes,2016
Saint Kitts and Nevis,ND,ND,ND,Draft law,1,ND,ND,ND,ND,ND,1,12,8%,No,No,2016
Saint Lucia,ND,ND,ND,Draft law,1,Yes,No,2,ND,ND,3,12,25%,No,No,2016
Sudan,No,No,0,Law,4,Yes,No,2,1.18,1,7,16,44%,No,No,2016
Suriname,ND,ND,ND,Draft law,1,No,No,0,8.24,4,5,12,42%,No,No,2016
Swaziland,ND,ND,ND,Draft law,1,Yes,No,2,3.53,2,5,12,42%,No,No,2016
Sweden,Yes,Yes,4,Law,4,Yes,Yes,4,9.41,4,16,16,100%,Yes,Yes,2016
Switzerland,ND,ND,ND,Law,4,Yes,Yes,4,9.41,4,12,12,100%,Yes,No,2016
Syria,ND,ND,ND,None,0,No,No,0,0,1,1,12,8%,No,No,2016
Tajikistan,Yes,No,2,Law,4,Yes,No,2,0.88,1,9,16,56%,No,No,2016
Tanzania,Yes,Yes,4,Constitutional right,3,Yes,No,2,5,3,12,16,75%,Yes,Yes,2016
Thailand,Yes,No,2,Law,4,Yes,Yes,4,6.18,3,13,16,81%,Yes,No,2016
Timor-Leste,Yes,Yes,4,None,0,Yes,No,2,7.94,4,10,16,63%,No,No,2016
Togo,ND,ND,ND,Law,4,Yes,No,2,4.12,2,8,12,67%,No,No,2016
Tonga,ND,ND,ND,ND,ND,No,No,0,ND,ND,0,12,0%,No,No,2016
Trinidad and Tobago,Yes,Yes,4,Law,4,Yes,No,2,8.24,4,14,16,88%,Yes,Yes,2016
Tunisia,Yes,No,2,Law,4,Yes,No,2,5.88,3,11,16,69%,No,Yes,2016
Turkey,Yes,Yes,4,Law,4,Yes,No,2,2.65,2,12,16,75%,Yes,Inactive,2016
Turkmenistan,ND,ND,ND,None,0,ND,ND,ND,0.59,1,1,12,8%,No,No,2016
Uganda,Yes,Yes,4,Law,4,Yes,Yes,4,6.18,3,15,16,94%,Yes,No,2016
Ukraine,Yes,Yes,4,Law,4,Yes,No,2,7.06,3,13,16,81%,Yes,Yes,2016
United Arab Emirates,ND,ND,ND,None,0,No,No,0,2.94,2,2,12,17%,No,No,2016
United Kingdom,Yes,Yes,4,Law,4,Yes,Yes,4,9.12,4,16,16,100%,Yes,Yes,2016
United States,Yes,Yes,4,Law,4,Yes,Yes,4,8.24,4,16,16,100%,Yes,Yes,2016
Uruguay,ND,ND,ND,Law,4,Yes,No,2,10,4,10,12,83%,Yes,Yes,2016
Uzbekistan,ND,ND,ND,Law,4,No,No,0,0.59,1,5,12,42%,No,No,2016
Vanuatu,ND,ND,ND,Law,4,Yes,No,2,ND,ND,6,12,50%,No,No,2016
Venezuela,No,No,0,Constitutional right,3,Yes,No,2,5.29,3,8,16,50%,No,No,2016
Vietnam,No,No,0,Law,4,Yes,No,2,2.94,2,8,16,50%,No,No,2016
Yemen,No,No,0,Law,4,Yes,No,2,0.88,1,7,16,44%,No,No,2016
Zambia,Yes,Yes,4,Draft law,1,Yes,Yes,4,6.76,3,12,16,75%,Yes,No,2016
Zimbabwe,Yes,Yes,4,Law,4,No,No,0,3.24,2,10,16,63%,No,No,2016
