Country name,National Action Plan Number,Year NAP Submitted,NAP Development -Step 1 : Prior availability- timeline and process,NAP Development Availability timeline - online,NAP Development <br/>Availability timeline - other channels,NAB Development <br/> Step 2 : Advance notice ,NAP Development Adequacy of advance notice,NAP development - Step 3: Awareness-raising activities,NAP Development - Step 4: Online consultations,NAP development - Step 5: In-person consultations,NAP Development - Step 6: Summary of comments,NAP development<br/>Invitation only or open participation,NAP development<br/>IAP2 level during development,NAP implementation<br/>Forum for regular dialogue,NAP implementation <br/>Invitation only or open participation,NAP development <br/>IAP2 level during implementation,NAP Self-Assessment<br/>Annual progress report published?,NAP Self-assessment<br/>According to schedule?,Two-week public comment period provided?,NAP Self assessment<br/>Review of consultation efforts on draft?
Croatia,1,2012,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,NR,Yes,NR,NR,Yes,Yes,Yes,Yes
Czech Republic,2,2014,0,No,No,No,No,No,No,No,No,NA,NA,No,NA,NA,Yes,No,Yes,Yes
Czech Republic,1,2012,0,No,No,No,No,No,Yes,Yes,Yes,NR,NR,No,NA,NA,Yes,Yes,No,No
Denmark,2,2014,1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Open,Consult,No,NA,NA,Yes,Yes,Yes,Yes
Denmark,1,2012,1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,NR,NR,Yes,NR,NR,Yes,Yes,Yes,Yes
Dominican Republic,2,2014,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Open,Consult,No,NA,NA,Yes,Yes,Yes,Yes
Dominican Republic,1,2012,0,No,No,No,No,No,No,No,No,NR,NR,No,NA,NA,Yes,Yes,No,No
El Salvador,3,2014,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
El Salvador,2,2014,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
El Salvador,1,2012,0,No,No,No,No,Yes,Yes,Yes,Yes,NR,NR,No,NA,NA,Yes,Yes,Yes,Yes
Estonia,2,2014,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Open,Collaborate,Yes,Open,Involve,Yes,No,Yes,Yes
Estonia,1,2012,1,No,Yes,No,No,Yes,Yes,Yes,Yes,NR,NR,Yes,NR,NR,Yes,Yes,Yes,Yes
Finland,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Finland,1,2013,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Open,Involve,Yes,Open,Consult,Yes,Yes,Yes,Yes
Georgia,2,2014,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Open,Involve,Yes,Invitation-only,Collaborate,Yes,Yes,No,No
Georgia,1,2012,0,No,No,NR,NR,No,No,Yes,No,NR,NR,Yes,NR,NR,No,NA,NA,NA
Ghana,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Ghana,1,2013,1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Open,Consult,Yes,Invitation-only,Collaborate,No,NA,NA,NA
Greece,2,2014,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Open,Involve,No,NA,NA,No,NA,NA,NA
Greece,1,2012,0,No,No,No,No,No,No,Yes,No,NR,NR,No,NA,NA,Yes,Yes,Yes,Yes
Guatemala,2,2014,0,No,No,No,No,No,No,Yes,No,Invitation-only,Consult,Yes,Invitation-only,Involve,Yes,Yes,Yes,Yes
Guatemala,1,2012,0,No,No,No,No,No,No,No,No,NR,NR,Yes,NR,NR,No,NA,NA,NA
Honduras,2,2014,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Open,Consult,Yes,Open,Inform,Yes,Yes,Yes,Yes
Honduras,1,2012,0,No,No,Yes,No,No,No,Yes,No,NR,NR,No,NA,NA,Yes,No,No,No
Hungary,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Hungary,1,2013,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Invitation-only,Involve,Yes,Invitation-only,Involve,Yes,No,Yes,Yes
Indonesia,3,2014,0,No,No,No,No,Yes,Yes,Yes,Yes,Invitation-only,Consult,No,NA,NA,Yes,No,Yes,Yes
Indonesia,2,2013,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Indonesia,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Ireland,1,2014,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Open,Involve,No,Open,Inform,Yes,Yes,Yes,Yes
Israel,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Israel,1,2012,1,Yes,No,No,No,No,Yes,Yes,Yes,NR,NR,Yes,NR,NR,Yes,No,No,No
Italy,2,2014,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Invitation-only,Consult,No,NA,NA,No,NA,NA,NA
Italy,1,2012,0,No,No,No,No,No,Yes,No,Yes,NR,NR,No,NA,NA,Yes,No,Yes,No
Jordan,2,2014,0,No,No,No,No,No,No,No,No,NA,NA,No,NA,NA,Yes,Yes,No,Yes
Jordan,1,2012,0,No,No,No,No,No,No,Yes,No,NR,NR,No,NA,NA,Yes,Yes,No,No
Kenya,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Kenya,1,2012,0,No,No,No,No,Yes,No,Yes,No,NR,NR,Yes,NR,NR,Yes,No,No,No
Latvia,2,2014,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Latvia,1,2012,NR,NR,NR,No,No,Yes,No,Yes,No,NR,NR,No,NA,NA,No,NA,NA,NA
Liberia,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Liberia,1,2013,0,No,No,No,No,Yes,No,Yes,No,Invitation-only,Consult,Yes,Invitation-only,Consult,No,NA,NA,NA
Lithuania,1,2014,0,No,Yes,No,No,No,Yes,Yes,No,Open,Consult,No,Open,Inform,Yes,Yes,No,Yes
Macedonia,2,2014,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Open,Collaborate,Yes,Open,Inform,Yes,Yes,Yes,Yes
Macedonia,1,2012,0,No,No,Yes,No,Yes,Yes,Yes,No,NR,NR,No,NA,NA,Yes,Yes,Yes,Yes
Malta,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Malta,1,2013,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Mexico,2,2013,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Invitation-only,Collaborate,NR,Invitation-only,Collaborate,Yes,No,Yes,Yes
Mexico,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Moldova,3,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Moldova,2,2014,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Moldova,1,2012,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,NR,NR,Yes,NR,NR,No,NA,NA,NA
Mongolia,1,2014,1,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Open,Collaborate,No,NA,NA,Yes,No,No,No
Montenegro,2,2014,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Montenegro,1,2012,0,No,No,No,No,No,No,Yes,No,NR,NR,Yes,NR,NR,Yes,No,No,No
Netherlands,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Netherlands,1,2013,0,No,Yes,No,No,Yes,No,Yes,No,Open,Consult,Yes,Open,Involve,Yes,No,Yes,Yes
New Zealand,1,2014,0,No,No,No,No,Yes,Yes,Yes,Yes,Invitation-only,Consult,No,NA,NA,No,NA,NA,NA
Norway,2,2013,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Invitation-only,Consult,NR,NR,NR,No,NA,NA,NA
Norway,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Panama,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Panama,1,2013,0,No,No,No,No,No,Yes,No,No,Invitation-only,Inform,No,Open,Inform,Yes,Yes,Yes,No
Paraguay,2,2014,0,Yes,No,No,No,No,No,Yes,No,Open,Consult,Yes,Open,Involve,Yes,Yes,Yes,Yes
Paraguay,1,2012,0,No,No,No,No,No,No,No,No,NR,NR,No,NA,NA,Yes,Yes,No,No
Peru,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Peru,1,2012,0,No,No,No,No,No,Yes,Yes,Yes,NR,NR,Yes,NR,NR,Yes,Yes,Yes,Yes
Philippines,2,2013,0,No,No,Yes,No,No,Yes,Yes,Yes,Open,Consult,NR,Invitation-only,Consult,Yes,No,Yes,Yes
Philippines,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Romania,2,2014,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Open,Collaborate,Yes,Open,Collaborate,Yes,Yes,Yes,Yes
Romania,1,2012,0,No,No,Yes,Yes,No,Yes,Yes,Yes,NR,NR,No,NA,NA,Yes,Yes,Yes,No
Serbia,1,2014,0,No,No,Yes,Yes,Yes,No,Yes,No,Open,Consult,No,NA,NA,Yes,No,No,Yes
Sierra Leone,1,2014,0,No,No,No,No,Yes,Yes,Yes,No,Open,Consult,Yes,Invitation-only,Involve,Yes,Yes,No,Yes
Slovakia,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Slovakia,1,2012,1,Yes,No,Yes,No,No,Yes,Yes,No,NR,NR,No,NA,NA,Yes,Yes,Yes,Yes
South Africa,2,2013,0,No,No,Yes,No,No,No,Yes,No,Open,Inform,NR,NA,NA,Yes,No,No,Yes
South Africa,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
South Korea,2,2014,0,No,No,No,No,No,No,No,No,NA,NA,No,NA,NA,Yes,No,No,Yes
South Korea,1,2012,0,No,No,No,No,No,No,No,No,NR,NR,No,NA,NA,No,NA,NA,NA
Spain,2,2014,0,No,No,No,No,No,Yes,Yes,No,Invitation-only,Consult,No,NA,NA,Yes,Yes,Yes,No
Spain,1,2012,0,No,No,No,No,No,No,No,No,NR,NR,No,NA,NA,Yes,No,Yes,No
Sweden,2,2014,1,No,Yes,Yes,No,Yes,No,Yes,No,Invitation-only,Consult,No,NA,NA,No,NA,NA,NA
Sweden,1,2012,0,No,No,Yes,Yes,No,No,Yes,No,NR,NR,No,NA,NA,Yes,No,No,Yes
Tanzania,2,2014,0,No,No,Yes,No,No,No,Yes,No,Invitation-only,Consult,Yes,Invitation-only,NA,No,NA,NA,NA
Tanzania,1,2012,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NR,NR,Yes,NR,NR,Yes,No,No,No
Trinidad and Tobago,1,2014,1,No,Yes,Yes,Yes,No,No,Yes,No,Invitation-only,Consult,No,NA,NA,No,NA,NA,NA
Tunisia,1,2014,1,Yes,Yes,Yes,No,Yes,No,Yes,No,Open,Involve,Yes,Invitation-only,Consult,Yes,Yes,No,Yes
Turkey,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Ukraine,2,2014,0,No,Yes,No,No,Yes,Yes,Yes,Yes,Open,Involve,Yes,Invitation-only,Collaborate,Yes,Yes,Yes,Yes
Ukraine,1,2012,0,No,No,No,No,No,NR,Yes,Yes,NR,NR,Yes,NR,NR,Yes,Yes,Yes,No
United Kingdom,2,2013,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Open,Collaborate,NR,Open,Collaborate,Yes,Yes,Yes,Yes
United Kingdom,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
United States,2,2013,0,No,No,No,Yes,Yes,Yes,Yes,No,Open,Consult,NR,Open,Involve,Yes,Yes,No,Yes
United States,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Uruguay,2,2014,1,Yes,No,Yes,No,No,Yes,Yes,Yes,Open,Collaborate,Yes,Open,Collaborate,Yes,Yes,Yes,No
Uruguay,1,2012,0,No,No,No,No,No,Yes,No,No,NR,NR,No,NA,NA,Yes,Yes,No,No
