Country name,Year,Budget Transparency : Budget Transparency Score,Budget Transparency : Executive Proposal Available,Budget Transparency : Audit Report Available,Access to Information : Access to Information Score,Access to Information : Level of Access,Asset Disclosure : Asset Disclosure Score,Asset Disclosure : Law,Asset Disclosure : Implementation,EIU Civil Liberties Score : Civil Liberties Score,Eligible?,OGP Participating Country?
Colombia,2016,4,ND,ND,4,ND,2,Yes,No,4,ND,ND
Comoros,2016,ND,ND,ND,0,ND,2,Yes,No,2,ND,ND
Congo,2016,ND,ND,ND,0,ND,2,Yes,No,2,ND,ND
Congo the Democratic Republic of the,2016,2,ND,ND,3,ND,2,Yes,No,1,ND,ND
Costa Rica,2016,4,ND,ND,3,ND,2,Yes,No,4,ND,ND
Croatia,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Cuba,2016,ND,ND,ND,0,ND,ND,ND,ND,2,ND,ND
Cyprus,2016,ND,ND,ND,1,ND,ND,ND,ND,4,ND,ND
Czech Republic,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Denmark,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Djibouti,2016,ND,ND,ND,0,ND,0,No,No,2,ND,ND
Dominica,2016,ND,ND,ND,1,ND,2,Yes,No,ND,ND,ND
Dominican Republic,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Ecuador,2016,2,ND,ND,4,ND,2,Yes,No,3,ND,ND
Egypt,2016,0,ND,ND,3,ND,2,Yes,No,2,ND,ND
El Salvador,2016,4,ND,ND,4,ND,2,Yes,No,4,ND,ND
Equatorial Guinea,2016,0,ND,ND,0,ND,ND,ND,ND,1,ND,ND
Eritrea,2016,ND,ND,ND,3,ND,0,No,No,1,ND,ND
Estonia,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Ethiopia,2016,ND,ND,ND,4,ND,4,Yes,Yes,2,ND,ND
Fiji,2016,0,ND,ND,3,ND,0,No,No,3,ND,ND
Finland,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
France,2016,4,ND,ND,4,ND,2,Yes,No,4,ND,ND
Gabon,2016,ND,ND,ND,0,ND,2,Yes,No,2,ND,ND
Gambia,2016,ND,ND,ND,0,ND,2,Yes,No,1,ND,ND
Georgia,2016,4,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Germany,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Ghana,2016,4,ND,ND,3,ND,2,Yes,No,3,ND,ND
Greece,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Grenada,2016,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Guatemala,2016,4,ND,ND,4,ND,2,Yes,No,3,ND,ND
Guinea,2016,ND,ND,ND,4,ND,2,Yes,No,2,ND,ND
Guinea Bissau,2016,ND,ND,ND,3,ND,2,Yes,No,1,ND,ND
Guyana,2016,ND,ND,ND,4,ND,2,Yes,No,3,ND,ND
Haiti,2016,ND,ND,ND,0,ND,2,Yes,No,3,ND,ND
Honduras,2016,4,ND,ND,4,ND,2,Yes,No,3,ND,ND
Hungary,2016,4,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Iceland,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
India,2016,4,ND,ND,4,ND,2,Yes,No,4,ND,ND
Indonesia,2016,4,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Iran,2016,ND,ND,ND,4,ND,2,Yes,No,1,ND,ND
Iraq,2016,0,ND,ND,1,ND,4,Yes,Yes,2,ND,ND
Ireland,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Israel,2016,ND,ND,ND,4,ND,2,Yes,No,3,ND,ND
Italy,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Ivory Coast,2016,4,ND,ND,4,ND,2,Yes,No,2,ND,ND
Jamaica,2016,ND,ND,ND,4,ND,2,Yes,No,4,ND,ND
Japan,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Jordan,2016,4,ND,ND,4,ND,2,Yes,No,2,ND,ND
Kazakhstan,2016,4,ND,ND,4,ND,2,Yes,No,2,ND,ND
Kenya,2016,4,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Kiribati,2016,ND,ND,ND,ND,ND,0,No,No,ND,ND,ND
Korea Democratic People s Republic of,2016,ND,ND,ND,0,ND,ND,ND,ND,1,ND,ND
Korea Republic of,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Kuwait,2016,ND,ND,ND,1,ND,0,No,No,2,ND,ND
Kyrgyzstan,2016,4,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Laos,2016,ND,ND,ND,0,ND,2,Yes,No,1,ND,ND
Latvia,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Lebanon,2016,0,ND,ND,4,ND,2,Yes,No,3,ND,ND
Lesotho,2016,ND,ND,ND,1,ND,2,Yes,No,3,ND,ND
Liberia,2016,2,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Libya,2016,ND,ND,ND,0,ND,ND,ND,ND,2,ND,ND
Liechtenstein,2016,ND,ND,ND,4,ND,ND,ND,ND,ND,ND,ND
Lithuania,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Luxembourg,2016,ND,ND,ND,1,ND,4,Yes,Yes,4,ND,ND
Macedonia,2016,4,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Madagascar,2016,ND,ND,ND,3,ND,2,Yes,No,2,ND,ND
Malawi,2016,2,ND,ND,3,ND,4,Yes,Yes,3,ND,ND
Malaysia,2016,4,ND,ND,1,ND,2,Yes,No,3,ND,ND
Maldives,2016,ND,ND,ND,4,ND,2,Yes,No,ND,ND,ND
Mali,2016,0,ND,ND,0,ND,2,Yes,No,3,ND,ND
Malta,2016,ND,ND,ND,4,ND,2,Yes,No,4,ND,ND
Marshall Islands,2016,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Mauritania,2016,ND,ND,ND,0,ND,2,Yes,No,2,ND,ND
Mauritius,2016,4,ND,ND,0,ND,2,Yes,No,4,ND,ND
Mexico,2016,4,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Moldova,2016,ND,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Monaco,2016,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Mongolia,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Montenegro,2016,ND,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Morocco,2016,4,ND,ND,3,ND,2,Yes,No,2,ND,ND
Mozambique,2016,4,ND,ND,4,ND,2,Yes,No,2,ND,ND
Myanmar,2016,0,ND,ND,0,ND,ND,ND,ND,2,ND,ND
Namibia,2016,2,ND,ND,0,ND,4,Yes,Yes,4,ND,ND
Nepal,2016,2,ND,ND,4,ND,2,Yes,No,3,ND,ND
Netherlands,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
New Zealand,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Nicaragua,2016,4,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Niger,2016,0,ND,ND,4,ND,4,Yes,Yes,2,ND,ND
Nigeria,2016,2,ND,ND,4,ND,4,Yes,Yes,2,ND,ND
Norway,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Oman,2016,ND,ND,ND,0,ND,0,No,No,2,ND,ND
Pakistan,2016,2,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Palestine,2016,ND,ND,ND,1,ND,2,Yes,No,2,ND,ND
Panama,2016,ND,ND,ND,4,ND,2,Yes,No,4,ND,ND
Papua New Guinea,2016,4,ND,ND,3,ND,2,Yes,No,4,ND,ND
Paraguay,2016,ND,ND,ND,4,ND,2,Yes,No,4,ND,ND
Peru,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Philippines,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Poland,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Portugal,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Qatar,2016,0,ND,ND,0,ND,0,No,No,2,ND,ND
Romania,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Russia,2016,4,ND,ND,4,ND,4,Yes,Yes,2,ND,ND
Rwanda,2016,4,ND,ND,4,ND,2,Yes,No,2,ND,ND
Saint Kitts and Nevis,2016,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND
Saint Lucia,2016,ND,ND,ND,1,ND,2,Yes,No,ND,ND,ND
Samoa,2016,ND,ND,ND,ND,ND,0,No,No,ND,ND,ND
Sao Tome and Principe,2016,2,ND,ND,0,ND,2,Yes,No,ND,ND,ND
Saudi Arabia,2016,0,ND,ND,0,ND,0,No,No,1,ND,ND
Senegal,2016,4,ND,ND,3,ND,2,Yes,No,3,ND,ND
Serbia,2016,4,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Seychelles,2016,ND,ND,ND,3,ND,2,Yes,No,ND,ND,ND
Sierra Leone,2016,4,ND,ND,4,ND,2,Yes,No,3,ND,ND
Singapore,2016,ND,ND,ND,0,ND,2,Yes,No,3,ND,ND
Slovak Republic,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Slovenia,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Solomon Islands,2016,ND,ND,ND,1,ND,2,Yes,No,ND,ND,ND
Somalia,2016,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
South Africa,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Spain,2016,2,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Sri Lanka,2016,2,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Sudan,2016,0,ND,ND,4,ND,2,Yes,No,1,ND,ND
Suriname,2016,ND,ND,ND,1,ND,0,No,No,4,ND,ND
Swaziland,2016,ND,ND,ND,1,ND,2,Yes,No,2,ND,ND
Sweden,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Switzerland,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Syria,2016,ND,ND,ND,0,ND,0,No,No,1,ND,ND
Tajikistan,2016,2,ND,ND,4,ND,2,Yes,No,1,ND,ND
Tanzania,2016,4,ND,ND,3,ND,2,Yes,No,3,ND,ND
Thailand,2016,2,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Timor Leste,2016,4,ND,ND,0,ND,2,Yes,No,4,ND,ND
Togo,2016,ND,ND,ND,4,ND,2,Yes,No,2,ND,ND
Tonga,2016,ND,ND,ND,ND,ND,0,No,No,ND,ND,ND
Trinidad and Tobago,2016,4,ND,ND,4,ND,2,Yes,No,4,ND,ND
Tunisia,2016,2,ND,ND,4,ND,2,Yes,No,3,ND,ND
Turkey,2016,4,ND,ND,4,ND,2,Yes,No,2,ND,ND
Turkmenistan,2016,ND,ND,ND,0,ND,ND,ND,ND,1,ND,ND
Uganda,2016,4,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Ukraine,2016,4,ND,ND,4,ND,2,Yes,No,3,ND,ND
United Arab Emirates,2016,ND,ND,ND,0,ND,0,No,No,2,ND,ND
United Kingdom,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
United States,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Uruguay,2016,ND,ND,ND,4,ND,2,Yes,No,4,ND,ND
Uzbekistan,2016,ND,ND,ND,4,ND,0,No,No,1,ND,ND
Vanuatu,2016,ND,ND,ND,4,ND,2,Yes,No,ND,ND,ND
Venezuela,2016,0,ND,ND,3,ND,2,Yes,No,3,ND,ND
Vietnam,2016,0,ND,ND,4,ND,2,Yes,No,2,ND,ND
Yemen,2016,0,ND,ND,4,ND,2,Yes,No,1,ND,ND
Zambia,2016,4,ND,ND,1,ND,4,Yes,Yes,3,ND,ND
Zimbabwe,2016,4,ND,ND,4,ND,0,No,No,2,ND,ND
